WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/08,MIN,W   34-24,1,1,28,43,65.1,357,8.3,2,1,0,0,96.8,6,-3,-0.5,0,1,0
2,09/15,@ARI,L   21-25,1,1,24,36,66.7,278,7.7,2,0,1,5,108.3,2,1,0.5,0,1,1
3,09/22,@WAS,W   27-20,1,1,25,42,59.5,385,9.2,2,1,1,7,95.8,1,2,2,0,0,0
4,09/29,CHI,W   40-32,1,1,23,35,65.7,242,6.9,1,1,1,14,83.3,5,8,1.6,1,2,1
5,10/06,@GB,L   9-22,1,1,25,40,62.5,262,6.6,1,0,5,40,89.8,1,-1,-1,0,1,0
6,10/13,@CLE,W   31-17,1,1,25,43,58.1,248,5.8,4,1,1,0,95.9,2,6,3,0,0,0
7,10/20,CIN,L   24-27,1,1,28,51,54.9,357,7,3,0,0,0,96.6,0,0,0,0,0,0
8,10/27,DAL,W   31-30,1,1,33,48,68.8,488,10.2,1,2,1,8,91.3,3,12,4,1,0,0
10,11/10,@CHI,W   21-19,1,1,18,35,51.4,219,6.3,3,1,0,0,87.7,2,-1,-0.5,0,1,0
11,11/17,@PIT,L   27-37,1,1,19,46,41.3,362,7.9,2,1,2,18,74.7,3,24,8,0,0,0
12,11/24,TB,L   21-24,1,1,26,46,56.5,297,6.5,3,4,2,11,61.6,2,6,3,0,0,0
13,11/28,GB,W   40-10,1,1,22,35,62.9,330,9.4,3,2,1,10,98.5,1,8,8,0,1,1
14,12/08,@PHI,L   20-34,1,1,10,25,40,151,6,0,0,0,0,60.6,6,-1,-0.2,0,5,1
15,12/16,BAL,L   16-18,1,1,18,34,52.9,235,6.9,1,3,1,5,48,2,9,4.5,0,0,0
16,12/22,NYG,L   20-23,1,1,25,42,59.5,222,5.3,0,2,2,15,53.9,1,-1,-1,0,0,0
17,12/29,@MIN,L   13-14,1,1,22,33,66.7,217,6.6,1,0,5,35,95.1,0,0,0,0,0,0
